40 # number of electrodes
# x z
   0    0 
   1    0 
   2    0 
   3    0 
   4    0 
   5    0 
   6    0 
   7    0 
   8    0 
   9    0 
  10    0 
  11    0 
  12    0 
  13    0 
  14    0 
  15    0 
  16    0 
  17    0 
  18    0 
  19    0 
  20    0 
  21    0 
  22    0 
  23    0 
  24    0 
  25    0 
  26    0 
  27    0 
  28    0 
  29    0 
  30    0 
  31    0 
  32    0 
  33    0 
  34    0 
  35    0 
  36    0 
  37    0 
  38    0 
  39    0 
361  # number of data
#a  b  m  n  u  i 
  7     38    21    24    11.01     12.65  
  8     39    22    25    11.01     8.19   
  0     33    15    18    25.42     18.40  
  1     34    16    19    54.61     35.14  
  2     35    17    20    47.08     27.83  
  3     36    18    21    30.11     33.08  
  4     37    19    22    23.73     24.11  
  5     38    20    23    15.77     14.55  
  6     39    21    24    3.10      6.51   
  0     35    16    19    28.26     22.78  
  1     36    17    20    39.04     25.50  
  2     37    18    21    23.03     24.16  
  3     38    19    22    31.61     38.72  
  4     39    20    23    22.15     27.46  
  0     37    17    20    29.45     20.41  
  1     38    18    21    24.77     28.69  
  2     39    19    22    24.10     27.60  
  0     39    18    21    18.40     22.65  
