43 # shot/geophone points
#x	y
54.0000 18.0000
54.0000 16.0000
54.0000 14.0000
54.0000 12.0000
54.0000 10.0000
54.0000 8.0000
54.0000 6.0000
54.0000 4.0000
54.0000 2.0000
54.0000 0.0000
52.0000 0.0000
50.0000 0.0000
48.0000 0.0000
46.0000 0.0000
44.0000 0.0000
42.0000 0.0000
40.0000 0.0000
38.0000 0.0000
36.0000 0.0000
34.0000 0.0000
32.0000 0.0000
30.0000 0.0000
28.0000 0.0000
26.0000 0.0000
24.0000 0.0000
22.0000 0.0000
20.0000 0.0000
18.0000 0.0000
16.0000 0.0000
14.0000 0.0000
12.0000 1.0000
11.0833 2.7500
10.1667 4.5000
9.2500 6.2500
8.3333 8.0000
7.4167 9.7500
6.5000 11.5000
5.5833 13.2500
4.6667 15.0000
3.7500 16.7500
2.8333 18.5000
1.9167 20.2500
1.0000 22.0000
701 # measurements
#s	g	t
41 22 0.005970
41 23 0.005570
41 24 0.005160
41 25 0.005230
41 26 0.005160
41 27 0.004610
41 28 0.004610
41 29 0.004140
41 30 0.003590
42 1 0.008970
42 2 0.009240
42 3 0.009040
42 4 0.008900
42 5 0.008900
42 6 0.009040
42 7 0.009100
42 8 0.009310
42 9 0.009510
42 10 0.009440
42 11 0.009510
42 12 0.009170
42 13 0.008630
42 14 0.008490
42 15 0.008490
42 16 0.007950
42 17 0.007540
42 18 0.007470
42 19 0.007540
42 20 0.007130
42 21 0.006520
42 22 0.006180
42 23 0.005840
42 24 0.005570
42 25 0.005430
42 26 0.004950
42 27 0.004610
42 28 0.004410
42 29 0.004610
42 30 0.004140
43 1 0.009380
43 2 0.009490
43 3 0.009510
43 4 0.009100
43 5 0.009240
43 6 0.009240
43 7 0.009240
43 8 0.009850
43 9 0.009850
43 10 0.009780
43 11 0.009780
43 12 0.009440
43 13 0.009510
43 14 0.009100
43 15 0.008700
43 16 0.008290
43 17 0.007950
43 18 0.007810
43 19 0.007610
43 20 0.007540
43 21 0.006990
43 22 0.006650
43 23 0.006450
43 24 0.006040
43 25 0.005970
43 26 0.005570
43 27 0.005230
43 28 0.005160
43 29 0.004890
43 30 0.004680
