40 # number of electrodes
# x y z
0.000 0.000 0.250 
-1.000 0.000 0.250 
-2.000 0.000 0.250 
-3.000 0.000 0.250 
-4.000 0.000 0.250 
-5.000 0.000 0.250 
-6.000 0.000 0.250 
-7.000 0.000 0.250 
-8.000 0.000 0.250 
-9.000 0.000 0.250 
-10.000 0.000 0.250 
-11.000 0.000 0.250 
-12.000 0.000 0.250 
-13.000 0.000 0.250 
-14.000 0.000 0.250 
-15.000 0.000 0.250 
-16.000 0.000 0.250 
-17.000 0.000 0.250 
-18.000 0.000 0.250 
-19.000 0.000 0.250 
-20.000 0.000 0.250 
-21.000 0.000 0.250 
-22.000 0.000 0.250 
-23.000 0.000 0.250 
-24.000 0.000 0.250 
-25.000 0.000 0.250 
-26.000 0.000 0.250 
-27.000 0.000 0.250 
-28.000 0.000 0.250 
-29.000 0.000 0.250 
-30.000 0.000 0.250 
-31.000 0.000 0.250 
-32.000 0.000 0.250 
-33.000 0.000 0.250 
-34.000 0.000 0.250 
-35.000 0.000 0.250 
-36.000 0.000 0.250 
-37.000 0.000 0.250 
-38.000 0.000 0.250 
-39.000 0.000 0.250 
359  # number of data
#a  b  m  n  i  u  err
  2     23    11    14     77.64     20.93     1.10
  3     24    12    15     60.95     7.65      0.90
  4     25    13    16     84.29     24.34     0.10
  5     26    14    17     138.28    37.38     0.40
  6     27    15    18     44.57     25.38     0.00
  7     28    16    19     66.64     77.88     0.00
  8     29    17    20     60.61     95.22     0.10
  9     30    18    21     22.65     43.25     0.10
  10    31    19    22     41.74     98.21     0.00
  11    32    20    23     18.25     26.53     0.10
  12    33    21    24     27.07     18.90     0.20
  13    34    22    25     41.70     22.13     0.00
  14    35    23    26     50.83     40.48     0.30
  15    36    24    27     41.65     48.46     0.30
  16    37    25    28     31.68     18.89     0.20
  17    38    26    29     27.32     16.16     0.20
  18    39    27    30     60.65     12.54     1.00
  19    40    28    31     46.93     22.44     0.50
  1     24    11    14     40.60     6.66      0.90
  2     25    12    15     75.50     15.04     0.70
  3     26    13    16     93.73     20.91     0.30
  4     27    14    17     41.46     4.45      0.50
  5     28    15    18     89.98     64.41     0.20
  6     29    16    19     87.40     72.92     0.00
  7     30    17    20     41.71     53.99     0.50
  8     31    18    21     57.08     82.79     0.10
  9     32    19    22     27.54     37.92     0.20
  10    33    20    23     49.26     69.26     0.10
  11    34    21    24     22.32     12.03     0.90
  12    35    22    25     28.77     15.83     1.80
  13    36    23    26     62.76     44.02     0.20
  14    37    24    27     68.74     64.10     0.10
  15    38    25    28     31.37     12.23     0.90
  16    39    26    29     29.02     12.84     1.10
  17    40    27    30     34.88     5.25      2.30
  1     26    12    15     52.84     6.04      9.70
  2     27    13    16     39.35     8.37      6.70
  3     28    14    17     68.88     13.47     2.90
  4     29    15    18     75.88     32.43     0.00
  5     30    16    19     49.47     33.71     0.40
  6     31    17    20     56.56     71.26     0.00
  7     32    18    21     33.13     42.11     0.20
  8     33    19    22     66.09     72.93     0.20
  9     34    20    23     38.08     32.28     0.30
  10    35    21    24     85.75     60.34     0.20
  11    36    22    25     26.93     12.84     0.80
  12    37    23    26     33.55     16.73     0.40
  13    38    24    27     41.50     23.13     0.20
  14    39    25    28     57.01     12.59     1.50
  15    40    26    29     41.81     12.82     1.50
  1     28    13    16     44.26     8.06      6.00
  2     29    14    17     68.80     9.94      2.90
  3     30    15    18     42.67     8.99      3.00
  4     31    16    19     51.55     28.69     0.10
  5     32    17    20     37.88     43.97     0.60
  6     33    18    21     65.18     79.61     0.20
  7     34    19    22     49.47     50.20     0.00
  8     35    20    23     76.95     55.66     0.10
  9     36    21    24     54.62     23.44     0.50
  10    37    22    25     153.74    60.84     0.00
  11    38    23    26     22.23     6.18      1.10
  12    39    24    27     30.66     11.59     0.00
  13    40    25    28     62.91     12.79     1.10
  1     30    14    17     32.06     2.32      0.90
  2     31    15    18     48.26     9.28      0.10
  3     32    16    19     33.81     6.64      0.40
  4     33    17    20     58.53     55.59     0.10
  5     34    18    21     60.72     70.50     0.20
  6     35    19    22     75.73     72.89     0.10
  7     36    20    23     81.96     54.18     0.00
  8     37    21    24     127.26    45.25     0.10
  9     38    22    25     37.95     9.22      2.90
  10    39    23    26     105.09    21.64     0.40
  11    40    24    27     27.00     11.13     1.10
  1     32    15    18     26.78     3.15      4.70
  2     33    16    19     54.25     14.42     0.20
  3     34    17    20     50.69     19.86     0.30
  4     35    18    21     66.97     63.17     0.10
  5     36    19    22     81.87     76.78     0.00
  6     37    20    23     84.18     48.06     0.20
  7     38    21    24     49.45     13.79     0.70
  8     39    22    25     92.16     13.33     1.80
  9     40    23    26     54.85     8.44      1.50
  1     34    16    19     36.28     7.06      0.80
  2     35    17    20     61.43     23.39     0.20
  3     36    18    21     85.10     39.66     0.20
  4     37    19    22     101.87    76.46     0.20
  5     38    20    23     60.50     27.68     0.10
  6     39    21    24     90.31     20.22     0.20
  7     40    22    25     82.55     12.20     0.70
  1     36    17    20     50.59     11.66     1.80
  2     37    18    21     89.08     37.48     0.30
  3     38    19    22     50.59     13.50     0.40
  4     39    20    23     78.34     26.17     0.00
  5     40    21    24     121.26    26.09     0.00
  1     38    18    21     36.35     8.57      1.10
  2     39    19    22     70.73     15.47     0.60
  3     40    20    23     85.54     14.09     0.00
  1     40    19    22     50.96     9.06      1.20
