40 # number of electrodes
# x y z
0.000 0.000 1.250 
-1.000 0.000 1.250 
-2.000 0.000 1.250 
-3.000 0.000 1.250 
-4.000 0.000 1.250 
-5.000 0.000 1.250 
-6.000 0.000 1.250 
-7.000 0.000 1.250 
-8.000 0.000 1.250 
-9.000 0.000 1.250 
-10.000 0.000 1.250 
-11.000 0.000 1.250 
-12.000 0.000 1.250 
-13.000 0.000 1.250 
-14.000 0.000 1.250 
-15.000 0.000 1.250 
-16.000 0.000 1.250 
-17.000 0.000 1.250 
-18.000 0.000 1.250 
-19.000 0.000 1.250 
-20.000 0.000 1.250 
-21.000 0.000 1.250 
-22.000 0.000 1.250 
-23.000 0.000 1.250 
-24.000 0.000 1.250 
-25.000 0.000 1.250 
-26.000 0.000 1.250 
-27.000 0.000 1.250 
-28.000 0.000 1.250 
-29.000 0.000 1.250 
-30.000 0.000 1.250 
-31.000 0.000 1.250 
-32.000 0.000 1.250 
-33.000 0.000 1.250 
-34.000 0.000 1.250 
-35.000 0.000 1.250 
-36.000 0.000 1.250 
-37.000 0.000 1.250 
-38.000 0.000 1.250 
-39.000 0.000 1.250 
361  # number of data
#a  b  m  n  i  u  err
  4     27    14    17     10.10     35.38     0.30
  5     28    15    18     12.05     48.66     0.00
  6     29    16    19     8.97      40.11     0.50
  7     30    17    20     6.57      27.47     0.10
  8     31    18    21     10.90     54.52     0.00
  9     32    19    22     8.12      31.97     0.60
  10    33    20    23     22.44     87.69     0.00
  11    34    21    24     12.33     44.46     0.20
  12    35    22    25     37.24     88.10     0.00
  13    36    23    26     16.08     29.04     0.00
  14    37    24    27     14.57     23.36     0.00
  15    38    25    28     18.10     33.93     0.50
  16    39    26    29     44.84     91.45     0.00
  17    40    27    30     18.71     41.54     0.10
  1     26    12    15     17.28     55.51     1.80
  2     27    13    16     19.80     84.55     0.10
  3     28    14    17     11.88     40.43     0.90
  4     29    15    18     20.38     65.83     0.00
  5     30    16    19     19.54     62.15     0.20
  6     31    17    20     8.38      30.10     0.20
  7     32    18    21     6.49      28.15     0.30
  8     33    19    22     12.60     34.88     0.50
  9     34    20    23     7.54      23.38     0.40
  10    35    21    24     15.80     44.22     0.10
  11    36    22    25     15.30     29.51     0.10
  12    37    23    26     23.24     34.59     0.00
  13    38    24    27     21.05     25.78     0.30
  14    39    25    28     15.53     26.69     0.50
  15    40    26    29     19.90     31.87     0.70
  1     28    13    16     15.73     53.86     2.10
  2     29    14    17     23.67     68.19     1.20
  3     30    15    18     29.02     85.76     0.80
  4     31    16    19     25.70     75.99     0.00
  5     32    17    20     27.00     75.46     0.20
  6     33    18    21     14.51     43.73     0.00
  7     34    19    22     6.11      15.78     1.20
  8     35    20    23     13.70     30.99     0.30
  9     36    21    24     8.19      19.26     0.20
  10    37    22    25     42.98     72.95     0.00
  11    38    23    26     20.11     25.37     0.20
  12    39    24    27     40.67     43.68     0.20
  13    40    25    28     23.53     32.32     0.60
  1     30    14    17     23.49     52.87     4.30
  2     31    15    18     20.91     55.68     0.10
  3     32    16    19     27.08     69.12     0.40
  4     33    17    20     38.53     86.10     0.10
  5     34    18    21     21.25     43.77     0.00
  6     35    19    22     16.01     27.11     0.80
  7     36    20    23     6.51      13.41     0.90
  8     37    21    24     11.99     21.15     0.90
  9     38    22    25     7.88      7.84      0.40
  10    39    23    26     88.39     87.21     0.10
  11    40    24    27     22.32     19.66     0.60
  1     32    15    18     22.29     45.87     0.30
  2     33    16    19     28.51     58.93     0.30
  3     34    17    20     21.22     39.33     0.30
  4     35    18    21     51.69     83.57     0.20
  5     36    19    22     27.67     32.07     0.60
  6     37    20    23     13.70     19.49     0.40
  7     38    21    24     6.31      9.94      0.50
  8     39    22    25     12.65     11.01     0.10
  9     40    23    26     8.19      11.01     0.20
  1     34    16    19     18.40     25.42     0.80
  2     35    17    20     35.14     54.61     0.10
  3     36    18    21     27.83     47.08     0.40
  4     37    19    22     33.08     30.11     0.30
  5     38    20    23     24.11     23.73     0.40
  6     39    21    24     14.55     15.77     2.60
  7     40    22    25     6.51      3.10      1.20
  1     36    17    20     22.78     28.26     0.10
  2     37    18    21     25.50     39.04     0.60
  3     38    19    22     24.16     23.03     0.70
  4     39    20    23     38.72     31.61     0.40
  5     40    21    24     27.46     22.15     0.00
  1     38    18    21     20.41     29.45     0.60
  2     39    19    22     28.69     24.77     0.60
  3     40    20    23     27.60     24.10     0.50
  1     40    19    22     22.65     18.40     0.90
